,LATITUDE,LONGITUDE,EXCEPTION TYPE
0,37.50791,82.553329,ALIGNMENT LEFT
1,37.50791,82.553329,ALIGNMENT RIGHT
2,37.50853,82.553728,WARP 31FT
3,37.50827,82.553037,ALIGNMENT LEFT
4,37.508155,82.553104,LEFT RAIL CANT
5,37.508166,82.553172,RIGHT RAIL CANT
6,37.508694,82.553261,RIGHT RAIL CANT
7,37.508449,82.552855,RIGHT RAIL CANT
8,37.508419,82.552887,RIGHT RAIL CANT
9,37.50844,82.552864,WIDE GAGE
10,37.508093,82.552053,LEFT RAIL CANT
11,37.508826,82.552333,LEFT RAIL CANT
12,37.508825,82.552296,LEFT RAIL CANT
13,37.50882,82.5523,LEFT RAIL CANT
14,37.508825,82.552296,RIGHT RAIL CANT
15,37.508786,82.5524,RIGHT RAIL CANT
16,37.509092,82.551833,ALIGNMENT LEFT
17,37.509092,82.551833,ALIGNMENT LEFT
18,37.509102,82.551828,ALIGNMENT RIGHT
19,37.509102,82.551828,ALIGNMENT RIGHT
20,37.509249,82.551752,ALIGNMENT LEFT
21,37.509264,82.551744,ALIGNMENT RIGHT
22,37.610332,82.731813,ALIGNMENT LEFT
23,37.610332,82.731813,ALIGNMENT RIGHT
24,37.609709,82.731396,RIGHT RAIL CANT
25,37.610658,82.731646,WARP 31FT
26,37.609615,82.731324,ALIGNMENT LEFT
27,37.60962,82.731328,ALIGNMENT RIGHT
28,37.609638,82.731344,GWR 2ND LEVEL
29,37.609633,82.73134,LOADED GAGE
30,37.609638,82.731344,PLG 24 2ND LEVEL
31,37.609559,82.731264,WARP 31FT
32,37.609541,82.731247,WARP 62FT
33,37.609533,82.731235,ALIGNMENT LEFT
34,37.609533,82.731235,ALIGNMENT RIGHT
35,38.402985,82.60038,LEFT RAIL CANT
36,38.402985,82.60038,RIGHT RAIL CANT
37,39.968808,83.015411,CROSSLEVEL
38,39.969696,83.015939,LEFT RAIL CANT
39,39.969858,83.016077,LEFT RAIL CANT
40,39.968843,83.015431,WARP 31FT
41,37.607414,82.727459,LOADED GAGE
42,37.60741,82.727455,PLG 24 2ND LEVEL
43,39.968827,83.015418,CROSSLEVEL
44,39.968861,83.015438,WARP 31FT
45,39.968866,83.015441,WARP 31FT
46,39.968866,83.015441,WARP 31FT
47,39.968861,83.015438,WARP 31FT
48,39.968768,83.015386,WARP 62FT
49,39.968768,83.015386,WARP 62FT
50,39.967728,83.014819,WARP 31FT
51,39.970454,83.016713,PLG 24 2ND LEVEL
52,39.970408,83.016649,WIDE GAGE
53,39.968561,83.015209,WIDE GAGE
54,39.970853,83.017473,LEFT RAIL CANT
55,39.968253,83.015047,ALIGNMENT LEFT
56,39.968253,83.015047,ALIGNMENT RIGHT
57,39.968406,83.015125,WARP 62FT
58,39.968721,83.015361,WARP 31FT
59,39.966669,83.018037,WARP 62FT
60,39.962571,83.011967,ALIGNMENT LEFT
61,39.962571,83.011967,ALIGNMENT LEFT
62,39.962591,83.01198,ALIGNMENT RIGHT
63,39.96777,83.018475,LEFT RAIL CANT
64,39.962488,83.011911,ALIGNMENT LEFT
65,39.962488,83.011911,ALIGNMENT LEFT
66,37.306779,82.347413,LEFT RAIL CANT
67,37.30679,82.347356,LEFT RAIL CANT
68,37.306832,82.34644,RIGHT RAIL CANT
69,35.192191,81.841193,PROFILE RIGHT 62FT
70,35.192157,81.84132,WARP 31FT
71,39.97174,83.019793,ALIGNMENT LEFT
72,39.966249,83.014021,WARP 31FT
73,39.969206,83.015441,ALIGNMENT LEFT
74,39.969206,83.015441,ALIGNMENT RIGHT
75,39.966498,83.014107,ALIGNMENT LEFT
76,39.966498,83.014107,ALIGNMENT RIGHT
77,39.963521,83.012601,WARP 31FT
78,39.969206,83.019354,RIGHT RAIL CANT
79,39.971826,83.01981,WARP 31FT
80,39.971838,83.019834,WARP 31FT
81,39.966409,83.014062,ALIGNMENT LEFT
82,39.966414,83.014064,ALIGNMENT LEFT
83,39.966409,83.014062,ALIGNMENT RIGHT
84,39.96553,83.013634,CROSSLEVEL
85,39.965785,83.013778,ALIGNMENT LEFT
86,39.965785,83.013778,ALIGNMENT RIGHT
87,39.972721,83.021861,LEFT RAIL CANT
88,39.963627,83.012624,WARP 31FT
89,37.305338,82.341617,LEFT RAIL CANT
90,37.306387,82.343769,RIGHT RAIL CANT
91,37.30636,82.343681,RIGHT RAIL CANT
92,37.306369,82.343706,RIGHT RAIL CANT
93,39.963597,83.012606,ALIGNMENT LEFT
94,39.963582,83.012597,ALIGNMENT RIGHT
95,39.971379,83.021456,ALIGNMENT LEFT
96,39.96347,83.012591,WARP 31FT
97,39.971692,83.020102,CROSSLEVEL
98,39.971692,83.020102,CROSSLEVEL
99,39.971685,83.020091,CROSSLEVEL
100,39.971688,83.020097,WARP 31FT
101,39.971741,83.02018,WARP 62FT
102,39.971741,83.02018,WARP 62FT
103,39.962814,83.012169,ALIGNMENT LEFT
104,39.962819,83.012172,ALIGNMENT RIGHT
105,39.962909,83.012225,WARP 31FT
106,37.305463,82.341844,LEFT RAIL CANT
107,37.305455,82.341833,WIDE GAGE
108,37.305677,82.34205,LEFT RAIL CANT
109,37.305607,82.341972,LEFT RAIL CANT
110,37.30569,82.342181,RIGHT RAIL CANT
111,39.972805,83.021995,LEFT RAIL CANT
112,39.962205,83.012115,CROSSLEVEL
113,37.305707,82.342074,LEFT RAIL CANT
114,37.305482,82.341838,RIGHT RAIL CANT
115,37.305533,82.341891,RIGHT RAIL CANT
116,37.305595,82.341958,RIGHT RAIL CANT
117,39.968808,83.015411,CROSSLEVEL
118,39.968843,83.015431,WARP 31FT
119,39.962858,83.012122,ALIGNMENT LEFT
120,39.962858,83.012122,ALIGNMENT LEFT
121,39.962853,83.012118,ALIGNMENT RIGHT
122,39.962853,83.012118,ALIGNMENT RIGHT
123,39.962699,83.012246,WARP 31FT
124,39.962795,83.012296,WARP 31FT
125,37.304654,82.34118,ALIGNMENT RIGHT
126,37.30531,82.34165,LEFT RAIL CANT
127,39.972366,83.022916,LEFT RAIL CANT
128,39.968768,83.015389,WARP 31FT
129,39.968763,83.015387,WARP 31FT
130,39.968748,83.015379,WARP 62FT
131,39.962736,83.01204,ALIGNMENT LEFT
132,39.962736,83.01204,ALIGNMENT LEFT
133,39.96275,83.01205,ALIGNMENT RIGHT
134,39.962819,83.012096,ALIGNMENT RIGHT
135,39.962539,83.012195,ALIGNMENT LEFT
136,39.962561,83.012201,ALIGNMENT RIGHT
137,39.962614,83.012218,PROFILE RIGHT 62FT
138,39.963372,83.012477,WARP 31FT
139,39.962679,83.012193,WARP 31FT
140,39.96271,83.012271,WARP 31FT
141,39.962651,83.01223,WARP 31FT
142,37.305276,82.341629,LEFT RAIL CANT
143,37.305194,82.341541,LEFT RAIL CANT
144,37.305324,82.341526,LEFT RAIL CANT
145,37.305346,82.341573,LEFT RAIL CANT
146,37.305247,82.341594,LEFT RAIL CANT
147,37.305184,82.341533,RIGHT RAIL CANT
148,37.305256,82.341602,RIGHT RAIL CANT
149,39.972558,83.022904,LEFT RAIL CANT
150,39.972782,83.022012,LEFT RAIL CANT
151,39.973101,83.022334,WIDE GAGE
152,39.962587,83.012237,ALIGNMENT LEFT
153,39.962587,83.012237,ALIGNMENT LEFT
154,39.96262,83.011705,ALIGNMENT LEFT
155,39.96262,83.011705,ALIGNMENT LEFT
156,39.962641,83.011727,ALIGNMENT RIGHT
157,39.962603,83.012241,ALIGNMENT RIGHT
158,39.96247,83.012173,PROFILE RIGHT 62FT
159,39.962525,83.01214,WARP 31FT
160,39.962479,83.012209,WARP 31FT
161,39.962497,83.012182,WARP 31FT
162,37.305139,82.341496,LEFT RAIL CANT
163,37.30522,82.341574,LEFT RAIL CANT
164,37.305113,82.34147,LEFT RAIL CANT
165,37.305281,82.341437,LEFT RAIL CANT
166,39.97328,83.022524,LEFT RAIL CANT
167,39.972908,83.022126,LEFT RAIL CANT
168,39.972766,83.022899,WIDE GAGE
