,DIVISION,SUBDIVISION,PREFIX,MILEPOST,TRACK TYPE,TRACK CODE,SIDE,DEFECT TYPE,SIZE,DATE FOUND,CAR NAME,PREPARED BY,CURVE-TANG,ROADMASTER,JOINT-WELD,ROLLED YEAR,MILL,WEIGHT,MGT,AGE,CUM MGT
0,AP,ROCKHOUSE,0VG,282.9,SG,M,L,BRO,,12/09/2011,SERV,F6860,,G20, ,1995.0,BS,136.0,6.09,17.0,85.9299
1,AP,KD,00C,233.3,SG,M,L,BRO,,02/05/2011,SERV,H1417,,R08, ,,,141.0,21.28,,
2,AP,KD,00C,221.0,SG,M,R,BRO,,12/30/2012,SERV,SWL,H,R08,W,,BS,136.0,21.28,,
3,AP,BIG SANDY,CMG,87.6,SG,M,L,EFBW,10.0,12/30/2010,S994,SRS,H,G15,,2001.0,OT,141.0,38.95,10.0,350.55
4,AP,COAL RUN,CMP,0.03,SG,M,R,TDD,10.0,12/30/2010,S994,SRS,H,G15,,1966.0,UI,132.0,1.83,45.0,45.2925
5,AP,COAL RUN,CMP,0.02,SG,M,R,TDD,20.0,12/30/2010,S994,SRS,H,G15,,1966.0,UI,136.0,1.83,45.0,45.2925
6,AP,COAL RUN,CMP,0.03,SG,M,R,TDD,25.0,12/30/2010,S994,SRS,H,G15,,1966.0,UI,132.0,1.83,45.0,45.2925
7,AP,COAL RUN,CMP,0.0,SG,M,R,TDD,40.0,12/30/2010,S994,SRS,H,G15,,1969.0,UI,132.0,1.83,42.0,44.5788
8,AP,COAL RUN,CMP,0.0,SG,M,R,TDD,50.0,12/30/2010,S994,SRS,H,G15,,1969.0,UI,132.0,1.83,42.0,44.5788
9,AP,KINGSPORT,Z,6.69,SD,S,R,CH,24.0,12/29/2010,S958,SRS,H,M01,,1946.0,UC,131.0,5.11,65.0,116.2525
10,AP,BIG SANDY,CMG,93.93,SG,M,R,SD,1.0,12/29/2010,S994,SRS,H,G15,,1994.0,YA,136.0,38.95,17.0,549.5845
11,AP,BIG SANDY,CMG,102.6,SG,M,R,SW,1.0,12/29/2010,S994,SRS,H,G15,,2003.0,YA,141.0,38.95,8.0,286.672
12,AP,BIG SANDY,CMG,91.87,SG,M,L,TDD,10.0,12/29/2010,S994,SRS,H,G15,,1995.0,BS,136.0,38.95,16.0,523.488
13,AP,BIG SANDY,CMG,114.06,SG,M,L,BRO,0.0,12/28/2010,S994,SRS,H,G15,,1998.0,BS,136.0,38.95,13.0,440.5245
14,AP,KINGSPORT,CMG,117.77,SG,M,R,SD,3.0,12/28/2010,S994,SRS,H,G15,,1997.0,BS,136.0,29.97,14.0,360.8388
15,AP,KINGSPORT,CMG,115.03,SG,M,L,SD,6.0,12/28/2010,S994,SRS,H,G15,,1998.0,BS,136.0,29.97,13.0,338.9607
16,AP,KINGSPORT,CMG,127.21,SG,M,R,TDD,10.0,12/28/2010,S994,SRS,H,G15,,1998.0,BS,136.0,29.97,13.0,338.9607
17,AP,KINGSPORT,CMG,124.2,SG,M,R,TDD,20.0,12/28/2010,S994,SRS,H,G15,,1996.0,BR,136.0,29.97,15.0,382.1175
18,AP,KINGSPORT,CMG,124.15,SG,M,R,TDD,40.0,12/28/2010,S994,SRS,H,G15,,1996.0,BS,136.0,29.97,15.0,382.1175
19,AP,S V AND E,CMN,3.05,SG,M,R,EFBW,20.0,12/27/2010,S994,SRS,H,G15,,1981.0,OT,132.0,3.07,30.0,64.47
20,AP,S V AND E,CMN,9.57,SG,M,L,TDD,10.0,12/27/2010,S994,SRS,H,G15,,1954.0,BL,132.0,3.07,57.0,75.2457
21,AP,S V AND E,CMN,7.75,SG,M,R,TDD,20.0,12/27/2010,S994,SRS,H,G15,,1952.0,IN,132.0,3.07,59.0,74.2633
22,AP,KD,00C,295.74,SD,S,L,VSH,480.0,12/27/2010,S958,SRS,H,R09,,1971.0,UT,132.0,3.86,40.0,92.64
23,AP,COAL RUN,CMP,6.48,SG,M,L,TDD,20.0,12/24/2011,SERV,H6862,H,G15, ,1966.0,BS,132.0,1.83,46.0,45.4572
24,AP,BLUE RIDGE,Z,169.9,SG,M,L,BRO,,12/23/2012,SERV,,H,M02, ,,,136.0,33.44,,
25,AP,KINGSPORT,Z,116.12,SG,M,L,TDD,10.0,12/23/2011,S958,SRS,H,M02,,1995.0,BS,136.0,29.97,17.0,422.8767
26,AP,BIG SANDY,CMG,65.73,1,M,R,TDD,10.0,12/23/2010,S994,SRS,H,G05,,1978.0,UT,136.0,26.08,33.0,576.6288
27,AP,BIG SANDY,CMG,70.72,SG,M,R,TDD,10.0,12/23/2010,S994,SRS,H,G05,,2000.0,BS,141.0,38.95,11.0,381.3205
28,AP,KD,00C,280.77,SG,M,R,TDD,10.0,12/23/2010,S958,SRS,H,R09,,1998.0,BS,136.0,21.28,13.0,240.6768
29,AP,KD,00C,277.15,SG,M,R,TDD,60.0,12/23/2010,S958,SRS,H,R09,,1988.0,OT,132.0,21.28,23.0,376.8688
30,AP,KD,00C,280.78,SG,M,R,TDD,80.0,12/23/2010,S958,SRS,H,R09,,1998.0,BS,136.0,21.28,13.0,240.6768
31,AP,KD,00C,280.84,SG,M,R,TDD,90.0,12/23/2010,S958,SRS,H,R09,,1996.0,BS,136.0,21.28,15.0,271.32
32,AP,BIG SANDY,CMG,69.0,SG,M,R,TW,20.0,12/23/2010,S994,SRS,H,G05,,1996.0,BS,136.0,38.95,15.0,496.6125
33,AP,KINGSPORT,Z,109.24,SG,M,L,SD,2.0,12/22/2011,S958,SRS,H,M02,,1995.0,BS,136.0,29.97,17.0,422.8767
34,AP,BIG SANDY,CMG,49.4,SG,M,L,SD,2.0,12/22/2010,S994,SRS,H,G05,,1984.0,BS,136.0,38.95,27.0,767.7045
35,AP,BIG SANDY,CMG,49.42,SG,M,L,TDD,10.0,12/22/2010,S994,SRS,H,G05,,1984.0,BS,136.0,38.95,27.0,767.7045
36,AP,BIG SANDY,CMG,59.24,SG,M,R,TDD,10.0,12/22/2010,S994,SRS,H,G05,,1996.0,BS,136.0,38.95,15.0,496.6125
37,AP,BIG SANDY,CMG,59.37,SG,M,R,TDD,10.0,12/22/2010,S994,SRS,H,G05,,1998.0,BS,136.0,38.95,13.0,440.5245
38,AP,BIG SANDY,CMG,60.29,SG,M,L,TDD,10.0,12/22/2010,S994,SRS,H,G05,,1992.0,BS,136.0,38.95,19.0,599.4405
39,AP,KD,00C,251.18,SG,M,L,TDD,10.0,12/22/2010,S958,SRS,H,R09,,1988.0,OT,132.0,21.28,23.0,376.8688
40,AP,BIG SANDY,CMG,49.3,SG,M,R,TDD,30.0,12/22/2010,S994,SRS,H,G05,,1984.0,BS,136.0,38.95,27.0,767.7045
41,AP,CUMBERLAND VALLEY,0WM,246.256,SG,M,L,TDD,20.0,12/21/2012,S958,SRS,H,R07,,1986.0,HY,136.0,5.33,27.0,105.0543
42,AP,CUMBERLAND VALLEY,0WM,251.518,SG,M,L,TDD,40.0,12/21/2012,S958,SRS,H,R07,,1955.0,UC,140.0,5.33,58.0,129.8388
43,AP,BIG SANDY,CMG,48.82,SG,M,R,SD,10.0,12/21/2011,S994,SRS,H,G05,,1969.0,OT,136.0,38.95,43.0,954.6645
